"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest::test_collection_can_be_sorted","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest","test_collection_can_be_sorted"
"","1","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest::testReadPersonUsesCache","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest","testReadPersonUsesCache"
"","1","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest::testAverageSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest","testAverageSalary"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testWordsReverse","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testWordsReverse"
"","1","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest::test_collection_can_be_sorted","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest","test_collection_can_be_sorted"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest","testTotalSalary"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testNumberCounter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testNumberCounter"
"","73","Tests\Feature\PersonControllerTest::testPostPersonAddsNewPerson","","Fri Nov 22 12:31:41 EET 2024","broken","Fri Nov 22 12:31:41 EET 2024","","","Tests\Feature\PersonControllerTest","testPostPersonAddsNewPerson"
"","1","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest","testTotalSalary"
"","1","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testWordCounter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testWordCounter"
"","1","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest::testChangeIqByDelta","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest","testChangeIqByDelta"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest","testTotalSalary"
"","0","Tests\Unit\DesignPatterns\Composite\DirectoryTest::testRemove","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Composite\DirectoryTest","testRemove"
"","10","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest::testWhoIsTheSmarter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest","testWhoIsTheSmarter"
"","1","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest","testTotalSalary"
"","1","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testNumberCounter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testNumberCounter"
"","5","Tests\Unit\DesignPatterns\Decorator\PersonRepositoryDecoratorsTest::test_uppercase_saved_and_lowercase_returned","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Decorator\PersonRepositoryDecoratorsTest","test_uppercase_saved_and_lowercase_returned"
